timestamp,filter_used,num_stocks
2025-04-03 14:59:42,growth,23
2025-04-03 15:08:55,growth,23
2025-04-03 15:24:08,growth,23
2025-04-03 15:39:40,growth,23
2025-04-03 16:57:09,growth,23
2025-04-03 17:11:31,growth,23
2025-04-03 17:11:54,growth,23
2025-04-03 17:17:50,growth,23
2025-04-03 17:20:32,growth,23
2025-04-03 17:29:01,growth,23
2025-04-03 17:42:23,growth,23
2025-04-03 17:50:36,growth,23
2025-04-04 00:14:03,growth,23
2025-04-04 00:23:20,growth,23
2025-04-04 00:26:09,growth,23
2025-04-04 00:32:11,growth,23
2025-04-04 00:39:37,growth,23
2025-04-04 01:09:14,growth,23
2025-04-04 02:10:31,growth,23
2025-04-04 02:15:42,growth,23
2025-04-04 02:40:23,growth,23
2025-04-04 02:54:02,growth,23
2025-04-04 12:26:18,growth,23
2025-04-04 12:29:08,growth,23
2025-04-04 12:33:17,growth,23
2025-04-04 12:53:36,growth,23
2025-04-04 13:09:24,growth,23
2025-04-04 13:16:34,growth,23
2025-04-04 14:01:38,growth,23
2025-04-04 15:50:42,growth,23
2025-04-04 18:31:42,growth,23
2025-04-04 18:54:15,growth,23
2025-04-04 19:23:13,growth,23
2025-04-04 19:29:47,growth,23
2025-04-04 19:35:27,growth,23
2025-04-05 01:35:54,growth,23
2025-04-05 01:42:36,growth,23
2025-04-09 12:43:51,growth,23
2025-04-11 01:07:21,growth,23
2025-04-16 21:10:03,growth,23
2025-04-17 00:02:49,growth,23
2025-04-17 00:40:00,growth,23
2025-04-17 02:08:59,growth,23
2025-04-17 12:22:07,growth,23
2025-04-17 13:43:12,growth,23
2025-04-17 13:50:45,growth,23
2025-04-17 13:54:12,growth,23
2025-04-17 14:43:17,growth,23
2025-04-27 06:46:06,growth,23
2025-04-27 06:57:19,growth,23
2025-04-27 07:01:00,growth,23
2025-04-27 07:03:52,growth,23
2025-04-27 07:23:59,growth,23
2025-05-02 02:01:33,growth,23
2025-05-02 02:31:44,growth,23
2025-05-02 02:32:39,growth,23
2025-05-02 02:33:26,growth,23
2025-05-02 02:34:22,growth,23
2025-05-02 02:35:19,growth,23
2025-05-02 02:36:17,growth,23
2025-05-02 02:37:13,growth,23
2025-05-02 02:38:09,growth,23
2025-05-02 02:39:07,growth,23
2025-05-02 02:40:04,growth,23
2025-05-02 02:41:03,growth,23
2025-05-02 02:42:02,growth,23
2025-05-02 02:43:00,growth,23
2025-05-02 02:43:50,growth,23
2025-05-02 02:44:42,growth,23
2025-05-02 02:45:40,growth,23
2025-05-02 02:46:38,growth,23
2025-05-02 02:47:35,growth,23
2025-05-02 02:48:33,growth,23
2025-05-02 02:59:52,growth,23
2025-05-02 03:00:50,growth,23
2025-05-02 03:01:48,growth,23
2025-05-02 03:02:47,growth,23
2025-05-02 03:03:40,growth,23
2025-05-02 03:04:31,growth,23
2025-05-02 03:05:31,growth,23
2025-05-02 03:06:24,growth,23
2025-05-02 03:07:15,growth,23
2025-05-02 03:08:05,growth,23
2025-05-02 03:08:55,growth,23
2025-05-02 03:09:44,growth,23
2025-05-02 03:10:33,growth,23
2025-05-02 03:14:39,growth,23
2025-05-02 03:15:29,growth,23
2025-05-02 03:16:16,growth,23
2025-05-02 03:17:04,growth,23
2025-05-02 03:17:52,growth,23
2025-05-02 03:18:39,growth,23
2025-05-02 03:19:28,growth,23
2025-05-02 03:20:18,growth,23
2025-05-02 03:21:06,growth,23
2025-05-11 00:37:32,growth,23
2025-05-11 00:45:02,growth,23
2025-05-11 00:49:57,growth,23
2025-05-11 00:52:27,growth,23
2025-05-11 00:53:36,growth,23
2025-05-11 00:56:57,growth,23
2025-05-11 00:58:07,growth,23
2025-05-11 00:59:42,growth,23
2025-05-11 01:01:44,growth,23
2025-05-11 01:05:48,growth,23
2025-05-11 01:26:25,growth,23
2025-05-11 01:27:53,growth,23
2025-05-11 01:29:01,growth,23
2025-05-11 01:32:21,growth,23
2025-05-11 01:36:11,growth,23
2025-05-11 01:52:26,growth,23
2025-05-11 01:54:13,growth,23
2025-05-11 01:55:26,growth,23
2025-05-11 01:56:52,growth,23
2025-05-11 01:58:10,growth,23
2025-05-11 02:14:03,growth,23
2025-05-11 02:15:27,growth,23
2025-05-11 02:17:16,growth,23
2025-05-11 02:18:43,growth,23
2025-05-11 02:26:46,growth,23
2025-05-11 02:28:21,growth,23
2025-05-11 02:33:33,growth,23
2025-05-11 02:35:57,growth,23
2025-05-11 09:45:24,growth,22
2025-05-11 09:47:14,growth,22
2025-05-11 14:16:28,growth,22
2025-05-11 14:20:33,growth,22
2025-05-11 14:31:37,growth,22
2025-05-11 14:33:47,growth,22
2025-05-11 16:42:52,growth,22
2025-05-11 17:01:35,growth,22
2025-05-11 17:08:18,growth,22
2025-05-11 17:11:08,growth,22
2025-05-11 17:13:55,growth,22
2025-05-11 18:13:22,growth,22
2025-05-11 18:21:04,growth,22
2025-05-11 19:00:01,growth,22
2025-05-11 19:07:56,growth,22
2025-05-12 12:25:20,growth,22
2025-05-12 13:16:42,growth,22
2025-05-12 13:32:25,growth,22
2025-05-12 13:58:18,growth,22
2025-05-12 17:04:12,growth,22
2025-05-13 11:20:05,growth,22
2025-05-13 12:03:51,growth,22
2025-05-13 12:26:37,growth,22
2025-05-13 12:57:30,growth,22
2025-05-13 13:01:53,growth,22
2025-05-13 13:11:56,growth,22
2025-05-13 13:29:21,growth,22
2025-05-13 13:32:15,growth,22
2025-05-14 12:57:04,growth,22
2025-05-14 13:07:08,growth,22
2025-05-14 13:11:01,growth,22
2025-05-14 13:12:18,growth,22
2025-05-14 13:13:45,growth,22
2025-05-14 13:14:57,growth,22
2025-05-14 13:19:10,growth,22
2025-05-14 13:27:20,growth,22
2025-05-14 13:30:12,growth,22
2025-05-14 13:31:57,growth,22
2025-05-14 13:33:53,growth,22
2025-05-14 13:38:02,growth,22
2025-05-14 13:39:31,growth,22
2025-05-14 14:39:46,growth,22
2025-05-14 14:43:47,growth,22
2025-05-14 14:45:20,growth,22
2025-05-14 14:47:13,growth,22
2025-05-14 14:49:05,growth,22
2025-05-14 15:07:53,growth,22
2025-05-14 15:19:44,growth,22
2025-05-14 15:21:34,growth,22
2025-05-14 15:23:15,growth,22
2025-05-14 15:25:45,growth,22
2025-05-14 15:27:29,growth,22
2025-05-14 15:57:47,growth,22
2025-05-14 16:00:23,growth,22
2025-05-14 16:03:11,growth,22
2025-05-14 16:04:39,growth,22
2025-05-14 16:07:05,growth,22
2025-05-14 16:10:48,growth,22
2025-05-14 16:13:45,growth,22
2025-05-14 16:15:17,growth,22
2025-05-14 16:19:40,growth,22
