Price,close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,
2020-01-01,1080.8299560546875,1105.3226250162138,1052.699761999865,1056.337287093161,1236
2020-01-02,1116.9627685546875,1124.2378191531766,1068.2684772457446,1091.3545667662006,9598
2020-01-03,1138.2542724609375,1146.4508998168144,1115.5076635546686,1115.5076635546686,19495
2020-01-06,1114.24658203125,1138.2058171282408,1088.347452059744,1116.3321199928464,2058
2020-01-07,1117.30224609375,1141.9889888115085,1109.1541657499533,1109.1541657499533,6489
2020-01-08,1113.082763671875,1119.3878076491012,1097.1261997392753,1097.1261997392753,1103
2020-01-09,1128.166259765625,1138.6908080322012,1100.9575263972251,1111.724576321598,10733
2020-01-10,1105.4681396484375,1130.3972640308418,1100.9575848919662,1130.348834742117,1162
2020-01-13,1100.6666259765625,1115.895803192281,1092.324591501388,1105.4682304960556,524
2020-01-14,1096.786376953125,1115.1195247346748,1086.455901751105,1099.4054657270633,2671
2020-01-15,1133.452880859375,1143.4924269823575,1095.4286638415672,1098.6296150527503,100636
2020-01-16,1105.710693359375,1162.9895196246548,1100.230131662237,1125.2563526179874,66414
2020-01-17,1094.5068359375,1108.5235012324665,1088.34731820167,1105.9044125764212,11032
2020-01-20,1080.8299560546875,1106.6806580661816,1076.7074276156186,1094.4100497363258,904
2020-01-21,1085.5345458984375,1099.9391226618704,1076.7075080279421,1082.6245256064701,8151
2020-01-22,1078.889892578125,1094.0705202777724,1072.8273510374522,1090.1419459958106,734
2020-01-23,1086.9410400390625,1096.107555863874,1076.028464814754,1084.8069542831195,7469
2020-01-24,1070.40234375,1103.8675733461712,1063.1272938377888,1103.8675733461712,3498
2020-01-27,1065.50390625,1074.5250167194495,1054.3973759187918,1068.9474777023997,1335
2020-01-28,1059.6353759765625,1074.524955606479,1056.3373294113794,1066.0373967154326,1658
2020-01-29,1068.75341796875,1074.815959778772,1052.117779560246,1057.3558393659087,1682
2020-01-30,1053.6212158203125,1080.5389013785466,1052.4572551597805,1058.2772952804796,1718
2020-01-31,1056.725341796875,1071.420967249786,1052.4572885577852,1054.9308530511848,41501
2020-02-03,1070.450927734375,1082.2364142644697,1044.6486551104963,1049.6442132346992,1058
2020-02-04,1105.3226318359375,1123.2677557402508,1060.120343412823,1060.120343412823,16530
2020-02-05,1113.422119140625,1120.3091427333256,1098.0475372870922,1098.0960849836176,2258
2020-02-06,1095.234619140625,1111.5307802226114,1079.4235798521433,1104.4496834456584,6342
2020-02-07,1088.444580078125,1104.352714892328,1070.7419564094512,1079.1325387068205,1050
2020-02-10,1110.027099609375,1114.4891065712904,1079.908463809684,1100.9575610044892,1216
2020-02-11,1113.66455078125,1117.4476001928713,1105.7589733307227,1110.7061017046167,646
