Price,close,High,Low,Open,Volume
Ticker,PGHL.NS,PGHL.NS,PGHL.NS,PGHL.NS,PGHL.NS
Date,,,,,
2020-01-01,4062.82177734375,4075.401794645526,4018.2613805188817,4018.2613805188817,13727
2020-01-02,4055.033935546875,4091.9909710303914,4009.0452081040994,4069.0427332893637,12843
2020-01-03,4037.29248046875,4071.6691587423197,4010.151055474787,4050.51781064877,8877
2020-01-06,3967.018798828125,4009.044737108684,3892.9665836246863,4009.044737108684,15330
2020-01-07,3943.4716796875,4021.947489953595,3927.020681643508,3953.7476470900374,9166
2020-01-08,3924.671142578125,3973.977790888596,3861.5861013247327,3930.707570918851,16130
2020-01-09,4008.6298828125,4055.1257662038033,3926.0990372791366,3926.0990372791366,15577
2020-01-10,3960.660400390625,4041.3021188395323,3953.748253095004,4041.3021188395323,7733
2020-01-13,3938.4951171875,3986.004423432929,3931.7211237145575,3986.004423432929,4928
2020-01-14,3940.660400390625,3972.1340657026153,3930.707089990702,3972.1340657026153,5569
2020-01-15,3997.10986328125,4009.0450163798073,3920.5695401562525,3961.9965186626614,8556
2020-01-16,3951.167236328125,4001.3491472836167,3939.923298606658,3997.524516422545,6404
2020-01-17,3957.75732421875,4002.3636240397627,3934.854986549483,3974.9454402126526,16102
2020-01-20,3988.308837890625,4024.7128122630525,3937.1589498483536,3962.96429877058,6826
2020-01-21,3981.396484375,4027.4774622034147,3940.8452238859954,3986.92620171441,7739
2020-01-22,3993.51611328125,4007.156354164681,3967.5726100259726,3982.3185244883225,4720
2020-01-23,4091.898681640625,4110.4233251932965,3981.396584043731,3999.8289756365257,24311
2020-01-24,4068.765869140625,4127.012405560576,4036.9240932239195,4096.644860937902,21187
2020-01-27,4085.9072265625,4140.052364571287,4038.3515770499116,4082.681558766232,11541
2020-01-28,4088.3505859375,4118.71813279648,4064.342574542957,4085.908383916166,7678
2020-01-29,4063.696533203125,4105.814722821505,4044.0662185725614,4101.2066254894935,8532
2020-01-30,3990.56689453125,4082.774753832375,3972.1804038414307,4073.5585579997964,7363
2020-01-31,4077.613525390625,4095.953664786217,3963.9780126953465,4026.4177384079503,10834
2020-02-03,4011.810302734375,4058.812904489361,3194.471832998944,3981.3968545399725,20301
2020-02-04,4080.701171875,4122.404458652109,4004.9902119600188,4044.988412480238,12940
2020-02-05,4078.121826171875,4122.405478775913,4046.0955372410763,4080.471776722637,10284
2020-02-06,4055.5869140625,4106.644548191724,4038.168394207399,4078.166593506775,11425
2020-02-07,3980.7978515625,4081.76110234778,3944.5320290042005,4055.1263849575894,30065
2020-02-10,3976.372802734375,4022.8686814736384,3939.001316063764,4022.8686814736384,32009
2020-02-11,4021.302490234375,4110.42328266733,3957.158128162727,4004.4370321052797,22496
2020-02-12,3886.654052734375,4044.988107610365,3861.90847841045,4026.0949072900157,40603
2020-02-13,3940.845458984375,3976.7886238347937,3890.2022813259164,3932.5508824804324,10841
2020-02-14,3960.70556640625,3972.1799087915965,3913.1962628141805,3961.996193669611,18002
2020-02-17,3883.106201171875,3968.4482698592424,3870.802488972865,3962.9644529960283,21937
2020-02-18,3905.40869140625,3915.731010230798,3782.050276310759,3877.9905101636805,9965
2020-02-19,3890.201904296875,3934.7163972262088,3873.198294117487,3932.5505013470665,6697
2020-02-20,3833.384033203125,3915.9153288935527,3824.720899961742,3881.1241929963103,17405
2020-02-24,3785.4140625,3866.193924216222,3715.5091312223362,3825.181855175073,29657
2020-02-25,3797.026611328125,3850.7568506124567,3764.815828337674,3785.09145825773,11538
2020-02-26,3825.0439453125,3849.605017319581,3737.1674276348817,3797.2572047488907,20413
2020-02-27,3845.319580078125,3856.8857259099686,3792.4646066757614,3852.369879928234,11433
2020-02-28,3853.79833984375,3869.8807822075537,3783.248537976187,3820.113322755492,13618
2020-03-02,3705.83203125,3889.2343128264115,3668.1378834806724,3833.9371425018653,8712
2020-03-03,3689.05859375,3861.58571981076,3662.515907047246,3709.5185017275203,19075
2020-03-04,3662.608154296875,3723.342789499932,3610.905210213053,3720.577930992878,23685
2020-03-05,3679.75,3797.072203121676,3649.6130884373392,3703.067017510411,12996
2020-03-06,3735.923095703125,3760.207861477076,3595.6526415578037,3647.7702734623203,11356
2020-03-09,3609.98388671875,3769.42407369918,3594.3163538940835,3645.1435836145456,23558
2020-03-11,3636.526611328125,3680.9486304198667,3570.170001065173,3612.748780982944,14485
2020-03-12,3336.631103515625,3617.356489491851,3304.0058636505187,3567.8194420242876,50936
2020-03-13,3436.1201171875,3465.2892840580535,2909.552731322148,3154.012301161615,48474
