Date,Open,High,Low,close,Volume
2020-01-01,2588.627197265625,2629.253513376238,2585.9088817547995,2604.4428511467922,14045
2020-01-02,2601.87255859375,2624.6570318984636,2584.9202521130437,2588.824693170917,8590
2020-01-03,2538.90673828125,2609.533470802231,2525.562280050066,2603.6520726621816,16517
2020-01-06,2470.55322265625,2538.9063974443357,2451.4260718948617,2535.4467235525485,26982
2020-01-07,2500.5537109375,2539.4009595575067,2472.777613241508,2474.1613864431447,18518
2020-01-08,2553.190185546875,2574.9861821101285,2473.22238106733,2481.080735929529,16290
2020-01-09,2575.4306640625,2609.43446139672,2510.388745536089,2574.985897105892,35091
2020-01-10,2501.8388671875,2594.7558381537683,2495.9079967002913,2575.035742049347,23297
2020-01-13,2483.205810546875,2526.550683076758,2473.1728517441506,2526.550683076758,12700
2020-01-14,2495.710205078125,2519.6313330621306,2482.069155480192,2485.0345905524505,12028
2020-01-15,2506.53369140625,2519.631028056603,2475.8413938581857,2495.9570225277303,20502
2020-01-16,2511.377197265625,2560.1586959768038,2485.923882045006,2506.5337503178303,18105
2020-01-17,2497.835205078125,2533.1238323084845,2490.9653291224763,2533.1238323084845,7356
2020-01-20,2462.4970703125,2518.4450381150655,2458.345509755776,2518.4450381150655,18871
2020-01-21,2519.087646484375,2540.3894035618887,2456.764037170356,2471.1959178617594,11564
2020-01-22,2500.10888671875,2548.4948540724135,2492.9424186239744,2548.4948540724135,27591
2020-01-23,2505.29833984375,2520.6197540349426,2483.6012886578947,2500.1583007677323,61138
2020-01-24,2490.965087890625,2529.3180906840025,2471.195523701017,2505.792261032831,15045
2020-01-27,2519.532470703125,2589.7144363642456,2466.2535820351422,2490.965541774973,34218
2020-01-28,2603.948486328125,2665.629436957615,2520.619715696612,2520.619715696612,68544
2020-01-29,2671.1650390625,2693.603448884915,2610.8678609406725,2623.4214874644276,26048
2020-01-30,2699.484619140625,2729.3860860986565,2672.845178661736,2703.488004304678,24794
2020-01-31,2641.70849609375,2728.200355180075,2610.571426822673,2718.315571284495,27902
2020-02-03,2583.387939453125,2683.6690109341007,2508.7578306225487,2560.158700280694,130945
2020-02-04,2511.7236328125,2599.747683243318,2501.9377931118574,2520.6199384777156,36950
