pe_ratio,de_ratio,roe,earnings_growth,market_cap,label
186.68633,144.75,25.26,0.225,792753143808.0,0
45.863075,135.125,21.236,4.911,11320809226240.0,0
56.78056,7.764,24.133,0.287,745479077888.0,1
